,,Name,Gender,Book Description,Special Notes
FALSE,#0385,Appledusk,Male,"Appledusk is a broad-shouldered, soft, thick, and glossy-furred, pale brown tom with pale, holly-green eyes","Mapleshade's baby daddy, Shellheart's grandpa"
FALSE,#0386,Applefrost,Uknown,Applefrost is a light brown cat,Appledusk child
FALSE,#0387,Aspentail,Female,Aspentail is an almost black she-cat with fur the color of floodwater. She has a very long tail and streaks of pale gray fur,
FALSE,#0388,Beechfur,Male,Beechfur is a light brown tom,
FALSE,#0389,Beetlenose,Male,Beetlenose is a broad-shouldered tom with crow-black fur,
FALSE,#0390,Beetlewhisker,Male,Beetlewhisker is a brown-and-white tabby tom,
FALSE,#0391,Birchstar,Female,Birchstar is a light brown tabby she-cat,banished Skyclan
FALSE,#0392,Birdsong,Female,"Birdsong is a tabby-and-white she-cat with a white belly, ginger patches around her gray-flecked muzzle and amber eyes",
FALSE,#0393,Blackbee,Female,No Description,
FALSE,#0394,Blackclaw,Male,"Blackclaw is a lean, muscular, broad-shouldered smoky-black tom. He has a long tail, long legs, orange eyes, and a torn ear-tip",
FALSE,#0395,Brackenpelt,Female,Brackenpelt is a tortoiseshell she-cat with a shredded ear,
FALSE,#0396,Brambleberry,Female,"Brambleberry is a small, lithe, snowy-white she-cat with black spots and blue eyes. She has a strikingly pink nose",
FALSE,#0397,Breezeheart,Female,Breezeheart is a brown-and-white she-cat,
FALSE,#0398,Brightsky,Female,"Brightsky is a lithe, white-and-ginger she-cat with glossy fur",
FALSE,#0399,Brindleclaw,Female,"Brindleclaw is a tortoiseshell she-cat with sleek, thick fur",
FALSE,#0400,Cedarpelt,Male,"Cedarpelt is a graying, stout, large, mottled brown tabby tom with a short tail",
FALSE,#0401,Cloudberry,Female,"Cloudberry is a slender, thick-furred, dark gray she-cat with blue eyes",
FALSE,#0402,Copperpaw,Female,Copperpaw is a dark ginger she-cat,
FALSE,#0403,Crookedstar,Male,"Crookedstar is a huge, light brown tabby tom with green eyes and a twisted jaw",
FALSE,#0404,Curlfeather,Female,Curlfeather is a pale brown she-cat with soft fur,
FALSE,#0405,Cypresspaw,Female,Cypresspaw is a brown-and-white she-cat with hazel eyes,
FALSE,#0406,Dapplenose,Female,Dapplenose is a mottled gray she-cat with blue eyes,
FALSE,#0407,Dappletuft,Male,Dappletuft is a gray-and-white tom with blue eyes and a scarred chest,
FALSE,#0408,Darkstar,Female,Darkstar is a small brown she-cat,
FALSE,#0409,Darkstar,Female,Darkstar is a black she-cat,Mapleshade's Vengenace
FALSE,#0410,Dawnbright,Female,Dawnbright is a ginger-and-white she-cat,
