,,Name,Gender,Book Description,Special Notes
FALSE,#0568,Amberleaf,Female,"Amberleaf is a dark orange she-cat with brown legs and ears, one of which is torn",
FALSE,#0569,Antfur,Male,"Antfur is a small, well-muscled tom with a splotched dark brown-and-black pelt. He has glossy fur, scars on his cheek, and amber eyes",
FALSE,#0570,Applefur,Female,Applefur is a mottled brown she-cat,
FALSE,#0571,Applefur,Female,Applefur is a mottled brown she-cat with pale green eyes,Tigerclaw's Fury
FALSE,#0572,Archeye,Male,"Archeye is a gray tabby tom with black stripes, a thick stripe over his left eye, patchy fur, and green eyes",
FALSE,#0573,Ashfur,Male,Ashfur is a thin and long-bodied gray tom with green eyes,"not the incel, hes an elder"
FALSE,#0574,Ashheart,Female,Ashheart is a pale gray she-cat with blue eyes,
FALSE,#0575,Badgerfang,Male,"Badgerfang is a very tiny, fluffy black-and-white tom. His face is striped like a badger's.",one of the kits Brokenstar forced to become apprentices early
FALSE,#0576,Berryheart,Female,Berryheart is a black-and-white she-cat,
FALSE,#0577,Birchkit,Male,Birchkit is a light brown tom,
FALSE,#0578,Blackstar,Male,"Blackstar is a tall, huge white tom with huge jet-black paws, one of which has six toes. He has a sleek pelt, a broad chest, black-rimmed ears, and amber eyes.",
FALSE,#0579,Blazefire,Male,Blazefire is a white-and-ginger tom with amber eyes,
FALSE,#0580,Blizzardstar,Male,Blizzardstar is a white tom with green eyes,
FALSE,#0581,Blizzardwing,Male,Blizzardwing is a mottled white tom,
FALSE,#0582,Bloomkit,Female,Bloomkit is a black she-cat,
FALSE,#0583,Blossomkit,Female,Blossomkit is a white she-cat,
FALSE,#0584,Bluebellkit,Female,Bluebellkit is a white she-cat with green eyes,
FALSE,#0585,Boulder,Male,"Boulder is a big, skinny pale gray tom with a ragged left ear, a nicked right ear, and blue eyes",
FALSE,#0586,Brackenfoot,Male,Brackenfoot is a pale ginger tom with dark ginger legs,
FALSE,#0587,Brightflower,Female,"Brightflower is an orange tabby she-cat with a broad, flat face, a snub nose, wide-set amber eyes, and traces of gray around her muzzle",
FALSE,#0588,Brightwhisker,Female,Brightwhisker is a brown-and-white she-cat,
FALSE,#0589,Brindlestar,Female,No Description,
FALSE,#0590,Brownpaw,Male,Brownpaw is a brown tom,
FALSE,#0591,Cedarheart,Male,Cedarheart is a muscular dark gray tom with yellow eyes,
FALSE,#0592,Cedarstar,Male,"Cedarstar is a very dark gray tom with a white underbelly, amber eyes, and a muzzle gray with age",
FALSE,#0593,Cinderfur,Male,"Cinderfur is a scarred, thin gray tom with orange eyes",
FALSE,#0594,Cinnamontail,Female,"Cinnamontail is a brown tabby she-cat with white paws, and glossy fur",
FALSE,#0595,Cloudpelt,Male,Cloudpelt is a thick-furred white tom with blue eyes,
FALSE,#0596,Cloverfoot,Female,Cloverfoot is a gray tabby she-cat,
FALSE,#0597,Conefoot,Male,Conefoot is a white-and-gray tom,
FALSE,#0598,Crowfrost,Male,"Crowfrost is a sleek, black-and-white tom",
FALSE,#0599,Crowtail,Female,"Crowtail is a sleek, long-legged small black tabby she-cat with green eyes",
FALSE,#0600,Darkflower,Female,Darkflower is a black she-cat,
FALSE,#0601,Dawncloud,Female,Dawncloud is a small pale ginger tabby she-cat with blue eyes,
FALSE,#0602,Dawnpelt,Female,Dawnpelt is a pale cream-furred she-cat,
FALSE,#0603,Dawnstar,Female,Dawnstar is a lean creamy-brown she-cat with green eyes,
FALSE,#0604,Deerfoot,Male,Deerfoot is a light brown tom,
FALSE,#0605,Deerleap,Female,Deerleap is a gray tabby she-cat with white legs,
FALSE,#0606,Dewkit,Female,Dewkit is a gray she-cat,
FALSE,#0607,Dovewing,Female,"Dovewing is a sleek, pale gray she-cat with green eyes and a torn ear",originally from Thunderclan
FALSE,#0608,Driftkit,Male,Driftkit is a gray tabby tom with blue eyes,
FALSE,#0609,Fallowkit,Female,Fallowkit is a light brown she-cat,
FALSE,#0610,Featherstorm,Female,Featherstorm is a dark brown tabby she-cat with yellow eyes,
FALSE,#0611,Fernshade,Female,Fernshade is a slender tortoiseshell she-cat with yellow eyes,
FALSE,#0612,Ferretclaw,Male,Ferretclaw is a cream-and-gray tom,
FALSE,#0613,Finchflight,Male,Finchflight is a black-and-white tom,
FALSE,#0614,Firkit,Male,Firkit is a brown tabby tom,
FALSE,#0615,Flametail,Male,"Flametail is a lean, orange flame-colored tom with broad shoulders and bright blue eyes",
FALSE,#0616,Flaxfoot,Male,Flaxfoot is a brown tabby tom,
FALSE,#0617,Flintfang,Male,Flintfang is a gray tom with very thick fur on his paws,
FALSE,#0618,Flowerstar,Female,Flowerstar is a ginger-and-white she-cat,
FALSE,#0619,Flowerstem,Female,Flowerstem is a small silver she-cat,
FALSE,#0620,Foxheart,Female,Foxheart is a bright ginger she-cat with smooth fur,
FALSE,#0621,Fringewhisker,Female,Fringewhisker is a white she-cat with brown splotches,originally part of Skyclan
FALSE,#0622,Frogtail,Male,Frogtail is a dark gray tom,
FALSE,#0623,Frondwhisker,Female,Frondwhisker is a gray tabby she-cat,
FALSE,#0624,Grassheart,Female,Grassheart is a pale brown tabby she-cat with glossy fur,
FALSE,#0625,Gullswoop,Female,Gullswoop is a white she-cat,
FALSE,#0626,Harelight,Male,Harelight is a white tom with a long tail,
FALSE,#0627,Hollowbelly,Male,Hollowbelly is a black-and-white tom,
FALSE,#0628,Hollowspring,Male,Hollowspring is a black tom,
FALSE,#0629,Hollyflower,Female,"Hollyflower is a sleek, long-legged dark gray-and-white she-cat with blue or green eyes",
FALSE,#0630,Hollystar,Female,No Description,
FALSE,#0631,Hopekit,Female,"Hopekit is a tiny, cream and gray she-cat",
FALSE,#0632,Hopwhisker,Female,Hopwhisker is a calico she-cat,
FALSE,#0633,Houndstar,Male,Houndstar is a brown-and-white tom,
FALSE,#0634,Ivytail,Female,"Ivytail is a black, white, and tortoiseshell she-cat. She has a wiry frame and long fur.",
FALSE,#0635,Jumpfoot,Male,Jumpfoot is a black tom with green eyes,
FALSE,#0636,Kinkfur,Female,"Kinkfur is a sleek, dark gray tabby  she-cat with long, unkempt fur that sticks out at all angles",
FALSE,#0637,Lakestorm,Male,No Description,
FALSE,#0638,Lavenderkit,Unknown,Lavenderkit is a silver cat with darker spots,
FALSE,#0639,Lightleap,Female,Lightleap is a dark brown tabby she-cat with amber eyes,
FALSE,#0640,Lilyfur,Female,Lilyfur is a white she-cat,
FALSE,#0641,Lilystar,Female,Lilystar is a pale gray she-cat,
FALSE,#0642,Littlebird,Female,Littlebird is a small ginger tabby she-cat,
FALSE,#0643,Littlecloud,Male,"Littlecloud is a very small, thin, brown tabby tom. He has bright blue eyes, a light brown tail, and a brown nose",
FALSE,#0644,Littlekit,Female,Littlekit is a pale brown tabby she-cat with blue eyes,
FALSE,#0645,Lizardfang,Male,"Lizardfang is a thick-furred, light brown tabby tom with one hooked tooth, skinny limbs, and a broad head",
FALSE,#0646,Lizardstripe,Female,"Lizardstripe is a pale brown tabby she-cat with a white underbelly, and yellow eyes.",
FALSE,#0647,Logfur,Male,Logfur is a dark brown tabby tom,
FALSE,#0648,Marigoldkit,Female,Marigoldkit is a tiny tortoiseshell she-cat,
FALSE,#0649,Marshkit,Male,Marshkit is a little patched brown tom with orange eyes,
FALSE,#0650,Marshscar,Male,Marshscar is a heavily-scarred gray tom,
FALSE,#0651,Mintkit,Male,Mintkit is a small gray tom,
FALSE,#0652,Mistcloud,Female,"Mistcloud is a spiky-furred, pale gray she-cat",
FALSE,#0653,Molepelt,Male,"Molepelt is a small, skinny, rumpled black tom with green eyes and a gray muzzle",
FALSE,#0654,Mossfire,Female,Mossfire is a tortoiseshell she-cat,
FALSE,#0655,Mossheart,Female,Mossheart is a dark tortoiseshell she-cat with yellow eyes,
FALSE,#0656,Mosspaw,Male,Mosspaw is a big brown and white tom with very pale blue eyes,
FALSE,#0657,Mothwing,Female,Mothwing is a dappled golden tabby she-cat with amber eyes,
FALSE,#0658,Mousewing,Male,Mothwing is a black tom with long thick fur,
FALSE,#0659,Mudclaw,Male,Mudclaw is a gray tom with brown legs,
FALSE,#0660,Needletail,Female,"Needletail is a sleek, silver-gray she-cat with white chest fur, she has a lithe, long body, a thick tail, a small gray nose, and bold green eyes",
FALSE,#0661,Nettlespot,Female,"Nettlespot is a thin white she-cat with ginger flecks, and blue eyes",
FALSE,#0662,Newtspeck,Female,Newtspeck is a small black-and-ginger tabby she-cat,
FALSE,#0663,Nightstar,Male,"Nightstar is a small, lean, and battered, black tom with a long tail, and a short, glossy pelt. He has bright yellow-green eyes and nicked ears.",
FALSE,#0664,Nightwhisper,Male,"Nightwhisper is a scrawny, sleek brown tom wih green eyes and a distinctive pointed muzzle.",
FALSE,#0665,Nightwing,Female,Nightwing is a black she-cat,
FALSE,#0666,Nutwhisker,Male,Nutwhisker is a brown tom with amber eyes,
FALSE,#0667,Oakfur,Male,Oakfur is a small light brown tom with green eyes,
FALSE,#0668,Oakleaf,Female,Oakleaf is a she-cat with amber eyes,
FALSE,#0669,Olivenose,Female,Olivenose is a tortoiseshell she-cat,
FALSE,#0670,Owlclaw,Male,Owlclaw is a light brown tabby tom,
FALSE,#0671,Palefoot,Male,Palefoot is a gray tabby tom,
FALSE,#0672,Pinenose,Female,Pinenose is a black she-cat,
