,,Name,Gender,Book Description,Special Notes
FALSE,#1088,Acornpaw,Male,Acornpaw is a light brown tom,
FALSE,#1089,Beechpaw,Unknown,No Description,Vicky's Facebook: Beechpaw is a long furred dark brown tabby tom with blue eyes and a scar on his muzzle
FALSE,#1090,Beechstar,Male,Beechstar is a brown tabby tom with milky blue eyes,
FALSE,#1091,Beepaw,Female,Beepaw is a white and brown tabby she-cat,
FALSE,#1092,Beetlekit,Male,Beetlekit is a gray tabby tom,
FALSE,#1093,Bellaleaf,Female,Bellaleaf is a pale orange she-cat with green eyes. she has long legs and a chin that tapers to a point,said to look just like Firestar
FALSE,#1094,Billystorm,Male,Billystorm is a long furred ginger and white tom with leaf green eyes and a broad face,
FALSE,#1095,Birchstar,Unknown,No Description,Vicky's FB: Birchstar is a white tom wihth a big silver tabby patch on one of his front legs that nearly covers the whole leg. He has strong haunches and blue eyes
FALSE,#1096,Birdflight,Female,"Birdflight is a fluffy, long furred light brown tabby she-cat with amber eyes",
FALSE,#1097,Birdwing,Female,Birdwing is a black she-cat with a lighter colored muzzle and green eyes,
FALSE,#1098,Blossomheart,Female,Blossomheart is a fluffy ginger and white she-cat,
FALSE,#1099,Bouncefire,Male,Bouncefire is a ginger tom with green eyes,
FALSE,#1100,Brackenheart,Male,Brackenheart is a small pale brown tabby tom,
FALSE,#1101,Braveheart,Male,Braveheart is a broad shouldered dark tabby tom,"in memoriam of Dana, Jimmy, and Emmy Grace Cherry"
FALSE,#1102,Brightspirit,Female,Brightspirit is a silver tabby she-cat with green eyes,"in memoriam of Dana, Jimmy, and Emmy Grace Cherry"
FALSE,#1103,Buzzardstar,Male,Buzzardstar is a ginger tom with green eyes,
FALSE,#1104,Cherrytail,Female,Cherrytail is a fluffy tortoiseshell and white she-cat with green eyes and hard gray paw pads,
FALSE,#1105,Cloudmist,Female,Cloudmist is a white she-cat with yellow eyes,
FALSE,#1106,Cloudstar,Male,"Cloudstar is a small, lithe, pale gray tom with very pale water-blue eyes. He has white patches that resemble clouds, and broad shoulders",
FALSE,#1107,Clovertail,Female,Clovertail is a soft furred light brown she-cat with a white underbelly and legs and green eyes,
FALSE,#1108,Creekfeather,Male,Creekfeather is a gray tabby tom,
FALSE,#1109,Darkstar,Male,"Darkstar is a dark brown tom with soft, thick fur underlaid with black, nicked ears, and milky yellow eyes",
FALSE,#1110,Dewspring,Male,"Dewspring is a sturdy, gray tom with a broad face",
FALSE,#1111,Dewstar,Unknown,No Description,Vicky's FB: Dewstar is a white tom with blue green eyes and a single gray spot on his shoulder
FALSE,#1112,Duskkit,Male,Duskkit is a white tom with brown paws and ears,
FALSE,#1113,Duskpaw,Male,Duskpaw is a ginger tabby tom,
FALSE,#1114,Echosong,Female,"Echosong is a silver gray tabby she-cat with a white chest, and green eyes",
FALSE,#1115,Egg,Male,Egg is a long legged sleek cream colored tom with blue eyes and a shredded ear,
FALSE,#1116,Emberkit,Female,Emberkit is an orange she-cat,
FALSE,#1117,Fallensnow,Unknown,No Description,Vicky's FB: Fallensnow was a long furred gray she-cat with white speckles like snow and green eyes
FALSE,#1118,Fallowfern,Female,"Fallowfern is a pale brown she-cat with blue eyes, who has lost her hearing",
FALSE,#1119,Fawnstep,Female,"Fawnstep is a small light brown tabby she-cat with a white chest, paws, and blue eyes",
FALSE,#1120,Fennelstar,Unknown,No Description,Vicky's FB: Fennelstar is a dappled silver amd black she-cat with very bright yellow eyes
FALSE,#1121,Fernpelt,Female,Fernpelt is a dark brown tabby she-cat,
FALSE,#1122,Fidgetflake,Male,Fidgetflake is a black and white tom with yellow eyes,
FALSE,#1123,Firefern,Female,"Firefern is a long legged, long furred ginger she-cat with green eyes",
FALSE,#1124,Flowerstem,Female,Flowerstem is a small silver she-cat,
FALSE,#1125,Flystar,Male,No Description,Vicky's FB: Flystar is a light brown tom with black dapples on his face and yellow eyes
FALSE,#1126,Frecklewish,Female,Frecklewish is a leggy mottled light brown tabby she-cat with spotted legs and pale green eyes,
FALSE,#1127,Gorseclaw,Male,Gorseclaw is a broad shouldered dark brown tabby tom with amber eyes,noted for having a striking resemblance to Tigerstar
FALSE,#1128,Gravelnose,Male,Gravelnose is a tan colored tom,
FALSE,#1129,Harrybrook,Male,Harrybrook is a gray tom with a paler underside and amber eyes,
FALSE,#1130,Hatchkit,Male,Hatchkit is a dark gray tom,
FALSE,#1131,Hawksnow,Male,Hawksnow is a brown tabby tom speckled with white,
FALSE,#1132,Hawkstar,Male,No Description,Vicky's FB: Hawkstar is a mottled brown tom with orange eyes
FALSE,#1133,Hawkwing,Male,"Hawkwing is a big sturdy and sleek-furred, dark gray tabby tom with yellow eyes",
FALSE,#1134,Hazelwing,Female,Hazelwing is an orange tabby she-cat with green eyes,
FALSE,#1135,Honeyleaf,Female,Honeyleaf is a ginger tabby she-cat with green eyes,
FALSE,#1136,Honeytail,Female,Honeytail is a pale ginger she-cat with long fur and green eyes,
FALSE,#1137,Kitescratch,Male,Kitescratch is a reddish-brown tom with a torn ear,
FALSE,#1138,Leafstar,Female,"Leafstar is a mottled pale cream-and-brown tabby she-cat with amber eyes, cream patches, and a long, brown tail, she has a scar on her chest between her forelegs",
FALSE,#1139,Lichenfur,Female,"Lichenfur is a mottled gray she-cat with a rumpled pelt, nicked ears and amber eyes",
FALSE,#1140,Macgyver,Male,"Macgyver is a slender, thick-furred black and white tom",
FALSE,#1141,Maplestar,Female,Maplestar is a dark ginger she-cat,
FALSE,#1142,Maplewhisker,Female,No Description,Vicky believes Maplewhisker is Maplestar
FALSE,#1143,Mintfur,Female,Mintfur is a gray tabby she-cat with blue eyes,
FALSE,#1144,Mintpaw,Female,Mintpaw is a pale gray she-cat,
