,,Name,Gender,Book Description,Special Notes
FALSE,#0744,Adderfang,Male,"Adderfang is a mottled, dark brown tabby tom with yellow eyes. He has massive shoulders and a broad head",
FALSE,#0745,Alderheart,Male,"Alderheart is a sturdy dark ginger tom with a white tipped tail, and amber eyes",
FALSE,#0746,Amberclaw,Male,Amberclaw is a long-legged tom,
FALSE,#0747,Ambermoon,Female,"Ambermoon is a small, pale ginger she-cat with amber eyes",
FALSE,#0748,Bayshine,Male,Bayshine is a golden tabby tom with white splotches,
FALSE,#0749,Beechfur,Male,No Description,
FALSE,#0750,Beetail,Male,"Beetail is a dark brown tabby tom with near-black stripes, amber eyes, and long legs and a long tail",
FALSE,#0751,Berrynose,Male,Berrynose is a cream-colored tom with a stump for a tail,
FALSE,#0752,Birchface,Male,"Birchface is a dark brown, almost black, tabby tom",
FALSE,#0753,Birchfall,Male,Birchfall is a light brown tabby tom with amber eyes and glossy fur,
FALSE,#0754,Birdflight,Female,"Birdflight is a fluffy, long-furred, light brown tabby she-cat with amber eyes",
FALSE,#0755,Bloomheart,Male,Bloomheart is a gray tabby tom,
FALSE,#0756,Blossomfall,Female,Blossomfall is a long and thick-furred tortoiseshell-and-white she-cat with petal shaped white patches,
FALSE,#0757,Bluestar,Female,Bluestar is a pale blue-gray she-cat with blue eyes,you know who
FALSE,#0758,Brackenfur,Male,"Brackenfur is a golden-brown tabby tom with amber eyes. He has fur around his muzzle that is fading to gray, long legs, and a scar on his flank.",
FALSE,#0759,Bramblestar,Male,Bramblestar is a dark brown tabby tom with amber eyes,
FALSE,#0760,Briarlight,Female,Briarlight is a sleek-furred dark brown she-cat with sky-blue eyes,
FALSE,#0761,Brightheart,Female,"Brightheart is a white she-cat with ginger patches, a single blue eye, and fur torn away from one side of her face",the girl <3
FALSE,#0762,Brindleface,Female,Brindleface is a pale gray tabby she-cat with darker flecks and green eyes,
FALSE,#0763,Bristlefrost,Female,"Bristlefrost is a thick-furred pale gray she-cat with blue-green eyes, neat ears, and long whiskers",
FALSE,#0764,Bristlekit,Female,Bristlekit is a orange-and-white tabby she-cat,
FALSE,#0765,Bumblestripe,Male,"Bumblestripe is a bulky, big, very pale gray tom. He has black stripes that resemble a bumblebee, thick fur, a torn ear, and yellow eyes.",
FALSE,#0766,Cherryfall,Female,Cherryfall is a ginger she-cat with amber eyes,
FALSE,#0767,Cherrypaw,Unknown,Cherrypaw is a ginger-and-white cat,
FALSE,#0768,Chestnutkit,Unknown,Chestnutkit is a reddish-brown cat with lighter parts,
FALSE,#0769,Cinderheart,Female,Cinderheart is a smoky-gray tabby she-cat with dark blue eyes,
FALSE,#0770,Cinderpelt,Female,"Cinderpelt is a small and sleek-furred, smoky-dark gray she-cat with pale blue eyes, and a twisted hind leg",
FALSE,#0771,Cloudberry,Female,"Cloudberry is a white she-cat with yellow eyes. She has thick, long fur, bony haunches, and a broad flattened muzzle",
FALSE,#0772,Cloudtail,Male,"Cloudtail is a heavy, snowy-white tom with blue eyes. He has fluffy, thick and long fur",our favorite atheist
FALSE,#0773,Cricketkit,Unknown,Cricketkit is a blue-gray cat,
FALSE,#0774,Daisy,Female,"Daisy is a broad-backed, long-furred, cream she-cat with pale blue eyes, a fluffy tail, and soft fur",
FALSE,#0775,Daisyheart,Female,Daisyheart is a she-cat with a ginger-and-white face,
FALSE,#0776,Daisytoe,Female,Daisytoe is a gray-and-white she-cat with yellow eyes,
FALSE,#0777,Dandelionkit,Female,Dandelionkit is a pale ginger tabby she-cat with paler markings and glossy fur,
FALSE,#0778,Dappletail,Female,"Dappletail is a broad-shouldered, dappled trotoiseshell-and-white she-cat with white patches, a patchy, thick, shiny pelt, amber eyes, and a muzzle gray with age",
FALSE,#0779,Dawnfeather,Female,"Dawnfeather is a pale orange she-cat with a white belly, white paws, and pale blue eyes",
FALSE,#0780,Deerdapple,Female,Deerdapple is a silver-and-black tabby she-cat,
FALSE,#0781,Dewnose,Male,Dewnose is a gray-and-white tom with amber eyes,
FALSE,#0782,Doestar,Female,"Doestar is a tall, pale cream, fawn, and white she-cat with amber eyes, a cream-colored tail, and a creamy ruff",
FALSE,#0783,Dustpelt,Male,"Dustpelt is a lithe, heavy dark brown tabby tom with amber eyes. He also has fur around his muzzle that is fading to gray",based
FALSE,#0784,Eaglestorm,Male,Eaglestorm is a gray tom with green eyes,
FALSE,#0785,Eaglewing,Female,Eaglewing is a ginger she-cat,
FALSE,#0786,Elderkit,Male,"Elderkit is a tiny, dark gray tom",
FALSE,#0787,Fallowpaw,Unknown,No Description,was a medicine cat apprentice. Vicky's FB: Fallowpaw is a dark brown she-cat with a white rear and green eyes.
FALSE,#0788,Fallowsong,Female,Fallowsong is a light brown she-cat,
FALSE,#0789,Featherkit,Male,Featherkit is a deaf white tom with blue eyes,
FALSE,#0790,Featherwhisker,Male,"Featherwhisker is a smooth and thick-furred, pale silver-gray tom with bright amber eyes, long whiskers, and a sweeping,  plumy tail",
FALSE,#0791,Featherwing,Female,Featherwing is a pale gray she-cat,
FALSE,#0792,Ferncloud,Female,"Ferncloud is a little, short-furred pale gray she-cat with darker flecks, and pale leaf-green eyes",
FALSE,#0793,Fernsong,Male,Fernsong is a pale yellow tabby tom,
FALSE,#0794,Fernstripe,Female,Fernstripe is a gray tabby she-cat,
FALSE,#0795,Finchlight,Female,Finchlight is tortoiseshell she-cat with orange in her fur,
FALSE,#0796,Finchstar,Male,Finchstar is a ginger tabby and white tom with amber eyes,
FALSE,#0797,Finleap,Male,"Finleap is a light brown tom with ginger legs and ears, yellow eyes, and part of his tail missing",
FALSE,#0798,Firestar,Male,Firestar is a bright flame-colored tom with emerald-green eyes,
FALSE,#0799,Flamenose,Male,Flamenose is a ginger tom with amber eyes,
FALSE,#0800,Flashnose,Female,Flashnose is a dark ginger she-cat with a white muzzle,
FALSE,#0801,Flickerkit,Male,Flickerkit is a orange-and-black tom,
FALSE,#0802,Flipclaw,Male,Flipclaw is a brown tabby tom with golden eyes,
FALSE,#0803,Flowerpaw,Female,Flowerpaw is a she-cat with a dappled gray head,
FALSE,#0804,Foxleap,Male,Foxleap is a reddish tabby tom with glossy fur,
FALSE,#0805,Frostfur,Female,"Frostfur is a pure snow-white she-cat with dark sky-blue eyes and sleek, soft fur",
FALSE,#0806,Fuzzypelt,Male,"Fuzzypelt is a black tom with fur that stands on end, yellow eyes, and a thick-furred tail",
FALSE,#0807,Goldenflower,Female,"Goldenflower is a sleek small, pale ginger tabby she-cat. She has a small nick in one ear, and yellow eyes",
FALSE,#0808,Gooseberry,Female,Gooseberry is a pale yellow tabby she-cat,
FALSE,#0809,Goosefeather,Male,Goosefeather is a speckled gray tom with pale blue eyes,
FALSE,#0810,Graykit,Male,Graykit is a white tom with gray spots,
FALSE,#0811,Graystripe,Male,"Graystripe is a dark grey tom with yellow eyes, and a stripe of darker gray fur running down his back",
FALSE,#0812,Greeneyes,Female,Greeneyes is a gray tabby she-cat with startlingly green eyes,
FALSE,#0813,Halftail,Male,"Halftail is a big, broad-shouldered, dark brown tabby tom with patchy fur, yellow eyes, and part of his tail missing",
FALSE,#0814,Harepounce,Female,Harepounce is a light brown she-cat with yellow eyes,
FALSE,#0815,Hazeltail,Female,"Hazeltail is a small gray-and-white she-cat with a lean, whippy tail like the branches of a hazel tree",
FALSE,#0816,Heronwing,Male,Heronwing is a dark brown tabby tom with yellow eyes,
FALSE,#0817,Hollykit,Female,Hollykit is a brown tabby she-cat with amber eyes,
FALSE,#0818,Hollyleaf,Female,"Hollyleaf is a slender, long-legged, black she-cat with soft and long fur. She has green eyes, and a bushy tail",
FALSE,#0819,Hollypelt,Female,Hollypelt is a black she-cat with green eyes,
FALSE,#0820,Hollytuft,Female,Hollytuft is a black she-cat,
FALSE,#0821,Honeyfern,Female,"Honeyfern is a sleek, lithe, dappled, light brown tabby she-cat with blue eyes",
FALSE,#0822,Honeyfur,Female,Honeyfur is a white she-cat with yellow splotches and green eyes,
FALSE,#0823,Icecloud,Female,"Icecloud is a sleek, snowy-white she-cat with bright blue eyes",
